O Estado e a Revolução,livro/lenin/politica/nao-ficcao/filosofia/filosofia-teorica/historia/economia/russia/classico/ciencias-politicas/comunismo,0,1
Um Passo em Frente Dois Passos Atrás,livro/lenin/politica/nao-ficcao/filosofia/filosofia-teorica/historia/russia/classico/comunismo/economia/ciencias-politicas,0,1
A ideologia alemã,livro/marx/filosofia/politica/nao-ficcao/filosofia-teorica/historia/sociologia/economia/classico/alemanha/academico,0,1
A revolucao sul-africana,livro/historia/africa/guerra/nao-ficcao,18,1
A revolucao alema,livro/historia/alemanha/nao-ficcao/guerra,18,1
A revolucao Colombiana,livro/nao-ficcao/historia/colombia/america-latina/guerra,20,1
A revolucao salvadorenha,livro/nao-ficcao/historia/america-latina/guerra/el-salvador,21,1
A revolucao guatemalteca,livro/nao-ficcao/historia/america-latina/guerra/guatemala,23,1
A revolucao portuguesa,livro/nao-ficcao/historia/europa/portugal/guerra,24,1
A revolucao peruana,livro/nao-ficcao/historia/america-latina/guerra/peru,25,1
A revolucao nicaraguense,livro/nao-ficcao/historia/america-latina/guerra/nicaragua,23,1
A revolucao argelina,livro/nao-ficcao/historia/africa/oriente-medio/guerra/argelia,22,1
A revolucao venezuelana,livro/nao-ficcao/historia/america-latina/guerra/venezuela,20,1
As revolucoes africanas,livro/nao-ficcao/historia/africa/guerra,29,1
A revolucao boliviana,livro/nao-ficcao/historia/america-latina/guerra/boliviana,18,1
A revolucao iraniana,livro/nao-ficcao/historia/oriente-medio/guerra/ira,18,1
A revolucao chinesa,livro/nao-ficcao/historia/china/guerra,14,1
A revolucao mexicana,livro/nao-ficcao/historia/america-latina/guerra/mexico,18,1
A revolucao cubana,livro/nao-ficcao/historia/america-latina/guerra/cuba,22,1
As revolucoes russas e o socialismo,livro/nao-ficcao/historia/russia/guerra,15,1
A revolucao vietinamita,livro/nao-ficcao/historia/asia/guerra/vietina,20,1
a revolucao coreana,livro/comunismo/socialismo/coreia/historia/politica/economia/sociologia/nao-ficcao/filosofia,0,1
romance dos tres reinos,livro/ficcao/classico/ficcao-historica/china/literatura/literatura-chinesa/fantasia/asia/novel,0,1
observer,jogo/playstation/terror/detetive/cyberpunk/stealth/fps/narrativa/distopia/indie,0,1
roadwarden,jogo/rpg/pc/indie/fantasia/visual-novel/crime,0,28
moon rider,jogo/plataforma/acao/brasi/joy-masher/pc/retro,53,1
Mario+Rabbits sparks of hope,jogo/estrategia/mario/aventura/switch/rabbits/rts,60,1
fargo,audiovisual/ficcao/drama/crime/misterio/suspense,0,1
farscape,audiovisual/ficcao/scifi/acao/aventura/drama,0,1
stargate,audiovisual/ficcao/scifi/acao/aventura,0,1
deadwood s1,audiovisual/ficcao/faroeste/historia/crime/drama,0,1
sopranos,audiovisual/ficcao/drama/crime,0,1
gabriel knight,audiovisual/jogabilidade/jogos/terror/ficcao/nao-ficcao,0,1
a bussola de ouro,livro/fantasia/ficcao/aventura/scifi/steampunk/classico,0,1
wyrmeweald o tesouro dos prodigos,livro/fantasia/young-adult/dragao/aventura/ficcao/alta-fantasia,0,1
hogwarts legacy,jogo/harry-potter/acao/aventura/rpg/fantasia/playstation,0,1
paper mario the origami king,jogo/rpg/aventura/jrpg/acao/mario/switch,0,1
professor layton,jogo/puzzle/misterio/historia/point-and-click/aventura/nintendo,0,1
years and years,audiovisual/drama/guerra/ficcao-militar/scifi/ficcao,0,1
o homem que matou don quixote,audiovisual/ficcao/fantasia/comedia/drama/europa,0,1
meu odio sera tua heranca,audiovisual/ficcao/faroeste/acao/aventura/drama/violencia,0,1
o primeiro homem,audiovisual/ficcao/drama/historia,12,1
patton,audiovisual/ficcao/drama/guerra/militar/historia,0,1
doze condenados,audiovisual/ficcao/acao/aventura/guerra/militar,0,1
a queda do imperio romano,audiovisual/ficcao/drama/historia/guerra/militar,0,1
