Name,Tags,Price,Tier
contradiction,jogo/detetive/crime/fmv/atmosferico/indie/ficcao-interativa/misterio/point-and-click/exploracao/rpg/narrativa/retro/immersive/conspiracao/aventura/estrategia/puzzle/cinematografico/pc,0,1
beyond the storm,jogo/shmup/remake/bullet-hell/acao/space-sim/narrativa/aventura/arcade/acao/exploracao/mundo-aberto/flight-sim/2d/alienigena/scifi/atmosferico/espaco,0,1
Wing Commander 1,jogo/scifi/espaco/simulacao/acao/aventura,32,1
final fantasy XV,jogo/rpg/fantasia/aventura/anime/scifi/switch,125,1
saga frontier,jogo/rpg/jrpg/retro/aventura/scifi/playstation,134,1
legend of mana,jogo/exploracao/rpg/jrpg/acao/fantasia/magia/anos-90/classico/retro/nintendo,0,1
hyper light drifter,jogo/nintendo/acao/aventura/indie/rpg,37,1
what remains of edith finch,jogo/nintendo/narrativa/atmosferico/walking-simulator/fps/exploracao/misterio/aventura/indie/drama/terror/terror-psicologico/puzzle/dark/visual-novel/lovecraft,11,1
the making of karateka,jogo/switch/acao/luta/2d/plataforma/documentario/ficcao/nao-ficcao/pixel-/art/cinematografico/game-development/educativo/anos-80/historia/retro/narrativa/linear/classico,0,1
blade runner,jogo/aventura/point-and-click/cinematografico/fmv/anos-80/cyberpunk/alt-history/ai/atmosferico/sombrio/crime/distopia/scifi/misterio/noir/retro/visual-novel,0,1
beneath a steel sky,jogo/aventura/point-and-click/cyberpunk/narrativa/puzzle/distopia/scifi/pos-apocaliptico/retro/pixel-art/comedia/2d/indie/crime/exploracao,0,1
earthbound,jogo/rpg/aventura/anime/jrpg/nintendo/japao/comedia/pixel-art/earthbound,99,1
rhythm doctor,jogo/pc/ritmo/musica/indie/pixel-art/narrativa/acao/2d/comedia/aventura/arcade/anime/fofo/moderno,10,1
the excavation of hobs barrow,jogo/point-and-click/aventura/terror/puzzle/pixel-art/atmosferico/dark/ficcao-interativa/drama/emocional/narrativa/suspense/indie/cinematografico/lovecraft/investigacao/nintendo,6,1
Spider-man 2,jogo/homem-aranha/acao/mundo-aberto/super-heroi/aventura/terceira-pessoa/combate/parkour/narrativa/exploracao/stealth/hq/beatn-up/rpg/scifi/bonito/adulto/playstation,70,1
Judgement,jogo/acao/narrativa/beatn-up/yakuza/aventura/rpg/crime/mundo-aberto/comedia/jrpg/drama/terceira-pessoa/playstation,40,1
final fantasy XVI,jogo/rpg/jrpg/fantasia/aventura/anime/medieval//acao/terceira-pessoa/3d/playstation,70,1
chained echoes,jogo/rpg/jrpg/aventura/playstation/acao/fantasia,48,1
sonic frontiers,jogo/playstation/sonic/acao/aventura/plataforma/exploracao,60,1
Mass Effect,jogo/rpg/scifi/narrativa/acao/espaco/shooter/terceira-pessoa/playstation,60,1
Yakuza 7,jogo/acao/narrativa/beatn-up/yakuza/aventura/rpg/crime/mundo-aberto/comedia/jrpg/drama/terceira-pessoa/playstation,60,1
yakuza ishin,jogo/acao/narrativa/beatn-up/yakuza/aventura/rpg/crime/mundo-aberto/comedia/jrpg/drama/terceira-pessoa/playstation,60,1
the expanse,jogo/rpg/aventura/acao/exploracao/scifi/espaco/3d/terceira-pessoa/drama/violencia/narrativa/lgbt/playstation,20,1
baldurs gate 3,jogo/rpg/narrativa/turnos/ded/aventura/crpg/fantasia/estrategia/dark-fantasy/playstation,60,1
Dodgeball Academia,jogo/nintendo/acao/rpg/aventura/esporte/arcade/anime/cartoon/fofo/colorido/isometrico/narrativa/indie,20,1
Final Fantasy 7 Remake,jogo/rpg/fantasia/aventura/scifi/cyberpunk/final-fantasy/playstation,70,1
steamworld dig 2,jogo/aventura/metroidvania/indie/acao/plataforma/mineracao/2d/steampunk/exploracao/robo/casual/colorido/familia/2d/rpg/western/nintendo,7,1
dragon quest bulders,jogo/dragon-quest/rpg/plataforma/jrpg/3d/fofo/terceira-pessoa/acao/voxel/mundo-aberto/fantasia/colorido/anime/survivor/construcao/aventura/crafting/nintendo,24,1
pentiment,jogo/aventura/historia/investigacao/narrativa/estilizado/exploracao/desenhado-a-mao/ficcao-interativa/misterio/detetive/2d/conspiracao/casual/medieval/point-and-click/nintendo,20,1
bloodstained curse of the moon,jogo/acao/pixel-art/retro/plataforma/metroidvania/2d/side-scrolling/gotico/aventura/dificil/fantasia/arcade/indie/anime/dark-fantasy/vampiro/classico/nintendo,4,1
disco elysium,jogo/nintendo/rpg/narrativa/detetive/isometrico/atmosferico/crpg/point-and-click/noir/surrealista/visual-novel/politico/exploracao/aventura/indie/comedia/mundo-aberto/adulto,0,1
the great ace attorney,jogo/nintendo/phoenix-wright/visual-novel/crime/anime/comedia,0,1
nier replicant,jogo/playstation/nier/narrativa/acao/rpg/jrpg/aventura/hack-and-slash/atmosferico/pos-apocaliptico/anime/dark-fantasy/bullet-hell/cult/action-rpg/violencia/magia,0,1
The Witcher 3,jogo/witcher/rpg/fantasia/aventura/acao/playstation,0,1
vagrant story,jogo/rpg/jrpg/anime/acao/aventura/fantasia/medieval/nintendo,0,1
dragons dogma,jogo/rpg/jrpg/fantasia/acao/aventura/playstation,0,1
mother 3,jogo/rpg/aventura/anime/jrpg/nintendo/japao/comedia/pixel-art/earthbound,0,1
red dead redemption,jogo/acao/faroeste/aventura/exploracao/drama/nintendo/red-dead,0,1
mario luiggi superstar saga,jogo/mario/rpg/jrpg/aventura/comedia/nintendo,0,1
phantasy star,jogo/phantasy-star/rpg/jrpg/nintendo/anime/scifi/nintendo/retro/aventura,0,1
outer wilds,jogo/exploracao/espaco/misterio/narrativa/aventura/atmosferico/puzzle/mundo-aberto/scifi/indie/fps/terror/terror-psicologico/epico/simulacao/3d/acao/playstation,40,1
Final Fantasy VII Rebirth,jogo/final-fantasy/ff7/rpg/action/rpg/jrpg/aventura/party-rpg/terceira-pessoa/acao/3d/fantasia/plataforma/magia/realista/cinematografico/drama/narrativa,70,1
elden ring,jogo/elden-ring/soulslike/dark-fantasy/rpg/dificil/action-rpg/terceira-pessoa/fantasia/acao/atmosferico/violencia/3d/playstation,40,1
live a live,jogo/nintendo/rpg/jrpg/artes-marciais/2.5d/2d/pixel-art/medieval/ninja/aventura/western/scifi/anos-90/futurista/moderno/retro/remake,0,1
sea of stars,jogo/rpg/jrpg/aventura/fantasia/indie/nintendo,25,1
Halo Reach,jogo/fps/scifi/espaco/halo/acao/shooter/aventura/space-opera,0,1
captain tsubasa,jogo/nintendo/anime/esporte/rpg/futebol/acao/casual/comedia/arcade/gerenciamento/narrativa/luta/deck-builder,0,1
indiana jones and the fate of atlantis,jogo/indiana-jones/aventura/point-and-click/classico/anos-90/pixel-art/retro/narrativa/puzzle/humor/acao/2d/remake/atmosferico/cinematografico,0,1
super mario bros U,jogo/plataforma/mario/aventura/familia,60,1
undertale,jogo/narrativa/pixel-art/comedia/rpg/indie/jrpg/2d/fofo/retro/sombrio/terror-psicologico,0,1
xenoblade chronicles 3,jogo/rpg/jrpg/switch/fantasia/aventura/acao,60,1
trails in the sky,jogo/switch/jrpg/narrativa/rpg/anime/turnos/fantasia/aventura/estrategia/classico/acao/romance/isometrico,20,1
ys 8,jogo/switch/rpg/jrpg/acao/anime/aventura/acao/narrativa/hack-n-slash/fofo/mundo-aberto/exploracao/fantasia/dificil,40,1
