Name,Tags,DoneDate
frostpunk new home,jogo/city-building/sobrevivencia/gerenciamento-de-recursos/estrategia/steampunk/simulacao/atmosferico/economia/sombrio/rts/frostpunk/playstation,2023-04-05
mario,audiovisual/mario/aventura/fantasia/eua,2023-04-07
frostpunk arca,jogo/city-building/sobrevivencia/gerenciamento-de-recursos/estrategia/steampunk/simulacao/atmosferico/economia/sombrio/rts/frostpunk/playstation,2023-04-09
avgn season 12,audiovisual/documentario/jogos/comedia/avgn/resenhas/historia,2023-04-16
Cuphead dlc,jogo/acao/plataforma/indie/bullet-hell/comedia/nintendo,2023-04-23
megaman,audiovisual/documentario/jogos/historia/biografia/gaming-historian/computacao,2023-04-23
people make games total war tv show,audiovisual/documentario/jogos/historia/biografia/people-make-games,2023-04-24
babylon 5 s1,audiovisual/babylon-5/scifi/espaco/eua,2023-04-28
big bang theory,audiovisual/comedia/sitcon/familia/hbo/big-bang-theory,2023-05-02
O Silmarillion,livro/tolkien/fantasia/alta-fantasia/epica/senhor-dos-aneis,2023-05-01
dreamcast,audiovisual/documentario/jogos/historia/biografia/gaming-historian/computacao,2023-05-07
tibet,audiovisual/historia-publica/tibet/marxismo/politica/socialismo,2023-05-09
as tres fontes e as tres partes componentes do marxismo,livro/lenin/politica/marxismo/socialismo/filosofia,2023-05-09
sobre a autoridade,livro/engels/politica/marxismo/socialismo/filosofia,2023-05-09
ecletismo e marxismo,livro/marighella/politica/marxismo/socialismo/filosofia,2023-05-09
nosso direito de sermos marxistas leninistas,livro/fidel-castro/politica/marxismo/socialismo/filosofia,2023-05-09
sobre a questao da moradia parte 1,livro/engels/politica/marxismo/socialismo/filosofia,2023-05-09
aniquilacao,livro/scifi/horror/fantasia/misterio/suspense,2023-05-11
street fighter,livro/jogos/historia/street-fighter/japao,2023-05-27
operacao fronteira s1,audiovisual/documentario/brasil,2023-06-03
Contos inacabados,livro/tolkien/fantasia/alta-fantasia/epica/senhor-dos-aneis,2023-06-09
eneas,audiovisual/historia-publica/brasil/marxismo/politica/socialismo,2023-06-17
how ubisoft plans a e3 conference,audiovisual/documentario/jogos/historia/biografia/people-make-games,2023-06-17
people make games,audiovisual/documentario/jogos/historia/biografia/people-make-games,2023-06-18
tunel do amor s2,audiovisual/reality-show/casimiro/youtube/globo/relacionamento/barraco,2023-06-22
psycodissey,audiovisual/documentario/jogos/biografia/historia/double-fine,2023-07-11
nes 2 top,audiovisual/documentario/jogos/historia/biografia/gaming-historian/computacao,2023-07-13
kirby,audiovisual/documentario/jogos/historia/biografia/gaming-historian/computacao,2023-07-13
entrevista com vampiro,audiovisual/terror/fantasia/eua,2023-07-22
barbie,audiovisual/filme/comedia/eua,2023-07-23
estrela vermelha,livro/scifi/comunismo/socialismo/russia/europa,2023-07-25
big bang theory s2,audiovisual/comedia/sitcon/familia/hbo/big-bang-theory,2023-07-28
big bang theory s3,audiovisual/comedia/sitcon/familia/hbo/big-bang-theory,2023-08-06
advance wars,jogo/nintendo/advance-wars/rts/isometrico/2d/estrategia/turno/guerra,2023-08-11
Tears of the kingdom,jogo/nintendo/zelda/mundo-aberto/terceira-pessoa/3d/acao/fantasia-medieval,2023-08-11
venezuela,audiovisual/historia-publica/venezuela/marxismo/politica/socialismo,2023-08-28
big bang theory s4,audiovisual/comedia/sitcon/familia/hbo/big-bang-theory,2023-08-29
big bang theory s5,audiovisual/comedia/sitcon/familia/hbo/big-bang-theory,2023-08-29
big bang theory s6,audiovisual/comedia/sitcon/familia/hbo/big-bang-theory,2023-09-01
mario paint,audiovisual/documentario/jogos/historia/mario/gaming-historian/computacao,2023-09-01
haiti,audiovisual/historia-publica/haiti/marxismo/politica/socialismo,2023-09-18
the road,audiovisual/drama/eua,2023-09-19
Picard s2,audiovisual/scifi/espaco/star-trek/eua,2023-09-29
the games that werent,livro/jogos/historia/computacao/artes,2023-10-04
operacao fronteira s1,audiovisual/documentario/brasil,2023-10-17
nao nao olhe,audiovisual/terror/suspense/alienigena/scifi/eua,2023-10-14
estrada para perdicao,audiovisual/mafia/eua,2023-10-21
retro games scam,audiovisual/documentario/videogame/crime/eua,2023-10-21
Divinity 2,jogo/divinity/switch/rpg/crpg/turno/estrategia/narrativa/fantasia/exploracao/isometrico,2023-10-25
big bang theory s7,audiovisual/comedia/sitcon/familia/hbo/big-bang-theory,2023-10-26
big bang theory s8,audiovisual/comedia/sitcon/familia/hbo/big-bang-theory,2023-10-26
people make games,audiovisual/documentario/jogos/historia/biografia/people-make-games,2023-10-26
andor,audiovisual/star-wars/aventura/acao/espionagem/scifi,2023-10-26
people make games,audiovisual/documentario/jogos/historia/biografia/people-make-games,2023-10-27
super mario wonder,jogo/nintendo/mario/side-scrolling/terceira-pessoa/2d/plataforma/fantasia,2023-10-26
people make games,audiovisual/documentario/jogos/historia/biografia/people-make-games,2023-10-29
the making of the witcher,audiovisual/jogos/documentario/witcher/biografia/no-clip/computacao/artes,2023-11-25
the art of point-and-click,livro/historia/jogos/point-and-click/computacao/artes,2023-11-25
eu wolverine,livro/wolverine/hq/marvel/super-heroi/fantasia/violento,2023-12-07
big bang theory s9,audiovisual/comedia/sitcon/familia/hbo/big-bang-theory,2023-12-07
kitchen nightmare,audiovisual/reality/culinaria/eua,2023-12-08
Kagemusha,audiovisual/drama/guerra/japao/samurai,2023-12-10
gatilho,livro/quadrinho/faroeste/drama,2023-12-11
red dead redemption 2,jogo/plataforma/red-dead-redemption/acao/terceira-pessoa/3d/shooter/faroeste,2023-12-20
heroi de brinquedo,audiovisual/natal/aventura/comedia/familia,2023-12-01
grinch,audiovisual/natal/comedia/familia,2023-12-01
the bear,audiovisual/drama/the-bear,2023-12-25
Return of The Obra Dinn,jogo/nintendo/obra-dinn/investigacao/primeira-pessoa/pixel-art/quebra-cabeca/pirata,2023-12-25
john wick,filme/acao/aventura/mafia,2024-01-01
pesadelo na cozinha,audiovisual/reality/culinaria/,2024-01-18
dragon quest III,jogo/nintendo/dragon-quest/rpg/jrpg/de-cima/pixel-art/turno/fantasia-medieval,2024-01-19
god of war ragnarok valhalla,jogo/god-of-war/acao/terceira-pessoa/aventura/playstation,2024-01-21
O olho do mundo,livro/roda-do-tempo/fantasia/epica/alta-fantasia/aventura/epico,2024-02-02
aeroporto area restrita s6,audiovisual/documentario/brasil,2024-02-20
duna 2,audiovisual/scifi/eua,2024-03-09
masterchef +,audiovisual/reality-show/culinaria/band/masterchef/brasil,2024-03-11
masterchef 1,audiovisual/reality-show/culinaria/band/masterchef/brasil,2024-04-02
indiana jones e a arca da alianca,audiovisual/indiana-jones/aventura/eua,2024-02-01
Yakuza 2,jogo/playstation/yakuza/rpg/jrpg/terceira-pessoa/3d/acao/mafia,2024-04-09
the bear s2,audiovisual/drama/the-bear,2024-04-09
frostpunk refugee,jogo/city-building/sobrevivencia/gerenciamento-de-recursos/estrategia/steampunk/simulacao/atmosferico/economia/sombrio/rts/frostpunk/playstation,2024-04-11
what to do if fortnite steals your dance,audiovisual/documentario/jogos/historia/biografia/people-make-games,2024-04-13
frostpunk winterhome,jogo/city-building/sobrevivencia/gerenciamento-de-recursos/estrategia/steampunk/simulacao/atmosferico/economia/sombrio/rts/frostpunk/playstation,2024-04-20
big bang theory s11,audiovisual/comedia/sitcon/familia/hbo/big-bang-theory,2024-04-21
o povo contra OJ,audiovisual/crime/drama/eua,2024-04-23
mad max fury road,audiovisual/scifi/acao/aventura/dieselpunk/pos-apocaliptico,2024-04-26
xogum,audiovisual/drama/japao,2024-05-12
history of japanese RPGs,livro/jogos/historia/rpg/jrpg/computacao/artes/resenhas,2024-05-17
the quiet duel,audiovisual/drama/kurosawa/japao/classico/cult,2024-05-28
o castelo animado,audiovisual/japao/ghibli/fantasia/drama/animacao/familia,2024-05-30
big bang theory s11,audiovisual/comedia/sitcon/familia/hbo/big-bang-theory,2024-05-31
astros playroom,jogo/plataforma/aventura/coletaton/familia,2024-06-01
1889,livro/historia/brasil/literatura-brasileira/laurentino-gomes,2024-06-15
pokemon arceus,jogo/nintendo/pokemon/rpg/jrpg/terceira-pessoa/3d/turno/fantasia,2024-06-01
people make games peter molineu,audiovisual/documentario/jogos/historia/biografia/people-make-games/peter-molineu,2024-06-05
pokemon arceus post game,jogo/nintendo/pokemon/rpg/jrpg/terceira-pessoa/3d/turno/fantasia,2024-06-19
gods risk,livro/the-expanse/scifi/espaco/fantasia/aventura/space-opera/conto/adulto/-especulativa,2024-06-20
frostpunk the last autumn,jogo/city-building/sobrevivencia/gerenciamento-de-recursos/estrategia/steampunk/simulacao/atmosferico/economia/sombrio/rts/frostpunk/playstation,2024-06-24
undertale,jogo/pc/undertale/rpg/jrpg/isometrico/pixel-art/turno/fantasia,2024-07-06
frostpunk on the edge,jogo/city-building/sobrevivencia/gerenciamento-de-recursos/estrategia/steampunk/simulacao/atmosferico/economia/sombrio/rts/frostpunk/playstation,2024-07-08
the case of the golden idol,jogo/pc/golden-idol/investigacao/side-scrolling/pixel-art/quebra-cabeca/fantasia,2024-07-11
a bruxa,audiovisual/terror/drama/fantasia/misterio/suspense/europeu,2024-07-20
esquadrao 51 contra os discos voadores,jogo/pc/esquadrao-51/navinha/de-cima/fmv/bullet-hell/scifi/alienigena,2024-07-23
house of the dragon,audiovisual/fantasia/drama/game-of-thrones/politica/hbo,2024-08-16
deadpool and wolverine,audiovisual/marvel/deadpool/wolverine/super-heroi/acao/aventura/humor/adulto,2024-08-20
alien,audiovisual/scifi/terror/espaco/alienigena/classico,2024-09-01
Mass Effect 1,jogo/pc/mass-effect/rpg/crpg/terceira-pessoa/3d/acao/espaco/scifi,2024-09-04
o farol,audiovisual/drama/fantasia/suspense/terror,2024-09-14
godzilla,audiovisual/drama/godzilla,2024-09-16
