Name,Tags,Price
pathfinder wrath of the righteous,jogo/pc/pathfinder/rpg/isometrico/3d/tempo-real-com-pausa/fantasia-medieval,0
final fantasy vi,jogo/nintendo/jrpg/rpg/turno/pixel-art/party-rpg/2d/exploracao/fantasia/retro/magia/aventura/remake/narrativa/anime,10,1
final fantasy XVI,jogo/rpg/jrpg/fantasia/aventura/anime/medieval/acao/terceira-pessoa/3d/playstation,70,1
dragon quest IV,jogo/dragon-quest/jrpg/rpg/fantasia/medieval/aventura/anime/japao/nintendo,22,1
dragon quest VI,jogo/dragon-quest/jrpg/rpg/fantasia/medieval/aventura/anime/japao/nintendo,22,1
the expanse,jogo/rpg/aventura/acao/exploracao/scifi/espaco/3d/terceira-pessoa/drama/violencia/narrativa/lgbt/playstation,20,1
disco elysium,jogo/nintendo/rpg/narrativa/detetive/isometrico/atmosferico/crpg/point-and-click/noir/surrealista/visual-novel/politico/exploracao/aventura/indie/comedia/mundo-aberto/adulto,0
planescape torment,jogo/pc/rpg/crpg/isometrico/fantasia/sombrio/dungeons-and-dragons/aventura/tempo-real-com-pausa/dungeon-crawler/2d/atmosferico/narrativa,0
star trek ressurgence,jogo/-interativa/visual-novel/point-and-click/acao/aventura/terceira-pessoa/narrativa/casual/scifi/espacial/drama/cinematografico/futurista,25,1
daredevil the man without fear,hq/demolidor/super-heroi,0
x-men dark phoenix,hq/x-men/super-heroi,0
kingdom come,hq/dc/super-heroi,0
authority,hq/super-heroi/dc,0
crise nas infinitas terras,hq/super-heroi/dc,0
demolidor frank miller e klaus johnson,hq/super-heroi/demolidor,0
demolidor frank miller e david mazuchelli,hq/super-heroi/demolidor,0
demolidor ann rocent e john romita junior,hq/super-heroi/demolidor,0
ciclope e fenix,hq/super-heroi/x-men,0
dias de um futuro esquecido,hq/super-heroi/x-men,0
martial law,hq/super-heroi/martial-law,0
hellboy,hq/hellboy/fantasia,0
Cyberpunk 2077,jogo/playstation/cyberpunk-2077/rpg/shooter/scifi,0,1
superman birthright,hq/superman/super-heroi,0,1
marx uma introducao,livro/nao-ficcao/ensaios/historia/sociologia,0,1
shadowrun,jogo/pc/shadowrun/rpg/turno/scifi,0,1
read dead redemption,jogo/nintendo/read-dead-redemption/acao/shooter/faroeste,0,1
zelda echoes of the wisdom,jogo/nintendo/zelda/aventura/acao/fantasia-medieval,0,1
aquaman peter david,hq/aquaman/super-heroi,0,1
homem animal grant morrison,hq/homem-animal/super-heroi,0,1
thor walter simonson,hq/thor/super-heroi,0,1
aquaman trono de atlantis,hq/aquaman/super-heroi,0,1
lanterna verde geoff johns,hq/aquaman/super-heroi,0,1
shazam o poder da esperanca,hq/shazam/super-heroi,0,1
shazam novos 52,hq/shazam/super-heroi,0,1
superman shazam o primeiro trovao,hq/superman/shazam/super-heroi,0,1
a noite mais densa,hq/dc/super-heroi,0,1
homem animal novos 52,hq/homem-animal/super-heroi,0,1
monstro do pantano novos 52,hq/monstro-do-pantano/super-heroi,0,1
aquaman novos 53,hq/aquaman/super-heroi,0,1
mulher maravilha novos 52,hq/mulher-maravilha/super-heroi,0,1
